ip,time,day,traffic,type,id
125.122.2.73,10/Nov/2016:00:01:05 +0800,10,54,video,243
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,306,video,8199
117.173.0.113,10/Nov/2016:00:01:05 +0800,10,66,video,8135
115.193.172.253,10/Nov/2016:00:01:05 +0800,10,2345,video,3078
14.145.74.175,10/Nov/2016:00:01:05 +0800,10,72,video,678
115.193.172.253,10/Nov/2016:00:01:05 +0800,10,221,video,3078
115.193.172.253,10/Nov/2016:00:01:05 +0800,10,4042,video,3078
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,3427,video,8199
122.206.190.75,10/Nov/2016:00:01:05 +0800,10,54,video,7707
115.193.172.253,10/Nov/2016:00:01:05 +0800,10,66,video,3078
110.65.101.188,10/Nov/2016:00:01:05 +0800,10,54,video,11786
58.20.14.170,10/Nov/2016:00:01:05 +0800,10,6417,video,5682
1.194.187.2,10/Nov/2016:00:01:05 +0800,10,54,video,2212
119.124.164.57,10/Nov/2016:00:01:05 +0800,10,54,video,4320
106.37.127.231,10/Nov/2016:00:01:05 +0800,10,3280,video,8199
58.20.14.170,10/Nov/2016:00:01:05 +0800,10,2957,video,5683
223.72.89.88,10/Nov/2016:00:01:05 +0800,10,67,video,2139
117.173.0.113,10/Nov/2016:00:01:05 +0800,10,1161,video,8135
115.193.172.253,10/Nov/2016:00:01:06 +0800,10,1801,video,3078
122.234.60.39,10/Nov/2016:00:01:06 +0800,10,6398,video,8837
117.173.0.113,10/Nov/2016:00:01:06 +0800,10,4882,video,8135
115.193.172.253,10/Nov/2016:00:01:06 +0800,10,362,video,3078
106.37.127.231,10/Nov/2016:00:01:06 +0800,10,302,video,8199
117.173.0.113,10/Nov/2016:00:01:06 +0800,10,16776,video,8135
